title,company,location,link
"Test Automation Engineer (5+ years, Python, Java, Locust, Calgary)",Blackline Safety,"Calgary, AB",https://ca.indeed.com/viewjob?jk=f7ab3e04f9bd2212
Embedded Test Software Engineer,Garmin,"Cochrane, AB",https://ca.indeed.com/viewjob?jk=30fef5f85b2b76fc
System Support and Development - SCADA/DCS/Comms/Industrial Control Apps,Quintessential Computing Services Inc,"Calgary, AB",https://ca.indeed.com/viewjob?jk=5bedb5be0abfb7d7
Software Developer,Mousetracks Inc.,"Calgary, AB",https://ca.indeed.com/viewjob?jk=3ade096ea3bfcb62
QE – Automation Engineers - JAVA+Selenium+API,APPTOZA INC.,"Calgary, AB",https://ca.indeed.com/viewjob?jk=ede604fe777593a1
Accessibility Automation QE,APPTOZA INC.,"Calgary, AB",https://ca.indeed.com/viewjob?jk=5cbb328c8da6b63a
Azure Site Reliability Engineer- Remote,Wello,"Calgary, AB",https://ca.indeed.com/viewjob?jk=502465a5218d31e4
Software Developer - 296148,Procom,"Edmonton, AB",https://ca.indeed.com/viewjob?jk=148572f5af354545
Development Team Lead,Robert Half,"Calgary, AB",https://ca.indeed.com/viewjob?jk=dd1b76109ff3452e
Full Stack Developer ( Javascript & PHP) Remote,Client Of Emergitel,"Calgary, AB",https://ca.indeed.com/viewjob?jk=eb696f1c93c929f9
Senior API Developer,Robert Half,"Calgary, AB",https://ca.indeed.com/viewjob?jk=27d90954e2353fc3
Artificial Intelligence Developer Intern,Sunrise International Inc.,"Stony Plain, AB",https://ca.indeed.com/viewjob?jk=54f9e7db74f965ec
GIS Analyst,City of St. Albert,"St. Albert, AB",https://ca.indeed.com/viewjob?jk=f451a066241a615d
Data Production & Dissemination and Operations - Social Statistics and Economics (EC),Statistics Canada,"Edmonton, AB",https://ca.indeed.com/viewjob?jk=7ce4680a2dcd59b7
GIS Specialist,Focus Corporation,"Edmonton, AB",https://ca.indeed.com/viewjob?jk=1bfcb5b56a03c804
Full Stack Python Developer,Yellow Pencil,"Edmonton, AB",https://ca.indeed.com/viewjob?jk=762d4d1d411cc41e
Python Automation Engineer,INSIGMA INC,"Edmonton, AB",https://ca.indeed.com/viewjob?jk=ae0055709125bb8a
